event_id,fight_id,fighter,w,str,td,sub,pass,weight_class,win_by,method,round,time,date,location,attendance,event_name,url
511,5534,Serghei Spivac,L,26,0,0,0,Heavyweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e30b9829e42aa4ca
511,5533,Luis Pena,W,27,0,1,3,Lightweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/9d2f7d29bb9c9034
511,5533,Steve Garcia,L,21,1,1,0,Lightweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/9d2f7d29bb9c9034
511,5532,Jordan Griffin,W,15,0,3,0,Featherweight,SUB,Guillotine Choke,2,3:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/59861c3d19eb46ef
511,5532,TJ Brown,L,32,7,0,4,Featherweight,SUB,Guillotine Choke,2,3:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/59861c3d19eb46ef
511,5531,Spike Carlyle,W,20,0,0,1,Featherweight,KO/TKO,Punches,1,1:25,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0bcb04163f8d8ead
511,5531,Aalon Cruz,L,2,0,0,0,Featherweight,KO/TKO,Punches,1,1:25,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/0bcb04163f8d8ead
511,5530,Sean Brady,W,47,4,1,6,Welterweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/533d0b5c0adfa15f
511,5530,Ismail Naurdiev,L,37,0,0,0,Welterweight,U-DEC,,3,5:00,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/533d0b5c0adfa15f
510,5529,Dan Hooker,W,122,1,0,1,Lightweight,S-DEC,,5,5:00,"February 22, 2020","Auckland, New Zealand","10,025",UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/fight-details/5fceb95c29d929bc
