fight_id,event_id,date,weight_class,winner,loser,win_by,method,round,time,time_format,title_fight,fight_of_night,performance_bonus,fight_name,referee,attendance,location,event_name,url
5513,509,2020-02-15,Flyweight,Ray Borg,Rogerio Bontorin,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Flyweight Bout,Herb Dean,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/b41e3be867afd6fa
5512,509,2020-02-15,Lightweight,Lando Vannata,Yancy Medeiros,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/eab100e978c730c5
5511,509,2020-02-15,Welterweight,Daniel Rodriguez,Tim Means,SUB,Guillotine Choke,2,3:37,3 Rnd (5-5-5),False,False,True,Welterweight Bout,Herb Dean,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/2dc48a745d6c662b
5510,509,2020-02-15,Bantamweight,John Dodson,Nathaniel Wood,KO/TKO,Punch,3,0:16,3 Rnd (5-5-5),False,False,False,Bantamweight Bout,Joe Coca,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/08426f06239d903c
5509,509,2020-02-15,Lightweight,Scott Holtzman,Jim Miller,U-DEC,,3,5:00,3 Rnd (5-5-5),False,True,False,Lightweight Bout,Robert Romero,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/f3e2038bfb9b5d9d
5508,509,2020-02-15,Light Heavyweight,Devin Clark,Dequan Townsend,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Light Heavyweight Bout,Jason Herzog,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/94c0819fde11364d
5507,509,2020-02-15,Bantamweight,Merab Dvalishvili,Casey Kenney,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Bantamweight Bout,Joe Coca,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/51218519be104794
5506,509,2020-02-15,Women's Bantamweight,Macy Chiasson,Shanna Young,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Bantamweight Bout,Herb Dean,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/d629aa5eb31a1e38
5505,509,2020-02-15,Flyweight,Raulian Paiva,Mark De La Rosa,KO/TKO,Punch,2,4:42,3 Rnd (5-5-5),False,False,False,Flyweight Bout,Robert Romero,"6,449","Rio Rancho, New Mexico, USA",UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/fight-details/8725dc88f2e0a6f3
5504,508,2020-02-08,Light Heavyweight,Jon Jones,Dominick Reyes,U-DEC,,5,5:00,5 Rnd (5-5-5-5-5),True,False,False,UFC Light Heavyweight Title Bout,Dan Miragliotta,"17,401","Houston, Texas, USA",UFC 247: Jones vs. Reyes,http://www.ufcstats.com/fight-details/fae99a4089f8abb0
5503,508,2020-02-08,Women's Flyweight,Valentina Shevchenko,Katlyn Chookagian,KO/TKO,Punches,3,1:03,5 Rnd (5-5-5-5-5),True,False,False,UFC Women's Flyweight Title Bout,Jacob Montalvo,"17,401","Houston, Texas, USA",UFC 247: Jones vs. Reyes,http://www.ufcstats.com/fight-details/05cceae674c81b86
5502,508,2020-02-08,Heavyweight,Justin Tafa,Juan Adams,KO/TKO,Punch,1,1:59,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Jeff Rexroad,"17,401","Houston, Texas, USA",UFC 247: Jones vs. Reyes,http://www.ufcstats.com/fight-details/57961c6adebfb13d
5501,508,2020-02-08,Featherweight,Dan Ige,Mirsad Bektic,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Kerry Hatley,"17,401","Houston, Texas, USA",UFC 247: Jones vs. Reyes,http://www.ufcstats.com/fight-details/be822403f364fff3
