fight_id,fighter,w,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5502,Juan Adams,L,0,7,11,0.63,7,11,0,0,0,0,0,0.0,3,4,2,4,2,3,7,11,0,0,0,0
5501,Dan Ige,W,0,43,88,0.48,64,117,0,1,0,1,2,0.5,27,70,15,17,1,1,28,68,12,16,3,4
5501,Mirsad Bektic,L,0,17,60,0.28,29,74,1,6,0,3,10,0.3,14,56,3,4,0,0,14,54,3,6,0,0
5500,Derrick Lewis,W,0,20,50,0.4,27,58,0,0,0,0,1,0.0,12,39,8,10,0,1,12,38,8,12,0,0
5500,Ilir Latifi,L,0,5,12,0.41,62,77,0,2,0,3,7,0.42,2,8,1,1,2,3,3,8,2,4,0,0
5499,Trevin Giles,W,0,71,148,0.47,88,167,1,3,1,0,0,0.0,63,139,6,7,2,2,36,92,7,16,28,40
5499,James Krause,L,0,44,80,0.55,59,98,4,1,0,1,4,0.25,18,49,8,12,18,19,39,74,5,6,0,0
5498,Lauren Murphy,W,0,80,197,0.4,107,228,0,1,1,2,4,0.5,70,181,9,15,1,1,75,190,5,7,0,0
5498,Andrea Lee,L,0,104,267,0.38,107,271,1,0,0,0,3,0.0,51,194,34,51,19,22,99,261,4,5,1,1
5497,Khaos Williams,W,1,10,17,0.58,10,17,0,0,0,0,1,0.0,6,12,4,4,0,1,4,10,4,4,2,3
5497,Alex Morono,L,0,1,4,0.25,1,4,0,0,0,0,0,0.0,1,3,0,1,0,0,1,4,0,0,0,0
5496,Mario Bautista,W,1,18,67,0.26,18,67,0,0,0,0,0,0.0,18,64,0,0,0,3,9,57,0,0,9,10
5496,Miles Johns,L,0,13,44,0.29,13,44,0,0,0,0,0,0.0,11,42,0,0,2,2,13,44,0,0,0,0
5495,Domingo Pilarte,W,0,1,4,0.25,1,4,0,0,0,0,0,0.0,0,3,1,1,0,0,0,2,1,2,0,0
5495,Journey Newson,L,1,6,10,0.6,7,13,0,0,0,0,0,0.0,6,10,0,0,0,0,1,5,0,0,5,5
5494,Andre Ewell,W,0,80,177,0.45,85,184,0,0,0,0,0,0.0,32,123,43,49,5,5,78,172,2,5,0,0
5494,Jonathan Martinez,L,0,66,142,0.46,74,151,0,0,0,0,3,0.0,30,88,15,27,21,27,65,141,1,1,0,0
5493,Youssef Zalal,W,0,31,55,0.56,49,80,2,2,0,6,12,0.5,16,37,6,9,9,9,28,51,2,2,1,2
5493,Austin Lingo,L,0,12,61,0.19,16,68,0,1,0,1,1,1.0,5,47,5,10,2,4,11,56,1,5,0,0
5492,Curtis Blaydes,W,0,28,60,0.46,29,62,0,0,0,0,6,0.0,20,51,3,3,5,6,19,51,9,9,0,0
5492,Junior Dos Santos,L,0,7,30,0.23,7,30,0,0,0,0,0,0.0,3,23,2,4,2,3,7,30,0,0,0,0
5491,Michael Chiesa,W,0,9,51,0.17,54,107,0,3,0,6,8,0.75,6,45,2,5,1,1,9,49,0,1,0,1
5491,Rafael Dos Anjos,L,0,14,36,0.38,23,52,0,0,0,0,1,0.0,2,23,4,4,8,9,14,36,0,0,0,0
5490,Alex Perez,W,0,2,9,0.22,16,23,1,1,0,1,1,1.0,0,6,0,1,2,2,2,9,0,0,0,0
5490,Jordan Espinosa,L,0,2,13,0.15,2,13,0,0,0,0,0,0.0,1,9,0,0,1,4,2,13,0,0,0,0
5489,Angela Hill,W,0,70,155,0.45,80,170,0,2,0,1,1,1.0,57,136,12,18,1,1,38,106,3,6,29,43
5489,Hannah Cifers,L,0,46,108,0.42,50,114,0,0,0,0,0,0.0,16,67,12,19,18,22,43,100,3,8,0,0
5488,Jamahal Hill,W,0,101,233,0.43,102,236,0,0,0,0,0,0.0,49,167,40,53,12,13,101,232,0,1,0,0
5488,Darko Stosic,L,0,31,72,0.43,32,81,0,4,0,6,9,0.66,20,56,3,7,8,9,25,59,0,1,6,12
5487,Bevon Lewis,W,0,36,82,0.43,94,146,0,0,0,0,3,0.0,16,56,14,20,6,6,22,58,14,24,0,0
5487,Dequan Townsend,L,0,28,65,0.43,55,99,0,0,0,0,0,0.0,7,42,18,19,3,4,16,50,12,15,0,0
5486,Arnold Allen,W,0,63,131,0.48,68,137,0,0,0,0,1,0.0,58,124,5,7,0,0,61,128,2,3,0,0
