fight_id,fighter,round,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
2340,Alexis Davis,3,0,14,22,0.63,42,55,0,1,1,0,1,0.0,13,21,1,1,0,0,14,22,0,0,0,0
2340,Rosi Sexton,3,0,14,28,0.5,44,59,0,0,1,0,0,0.0,12,26,2,2,0,0,11,25,0,0,3,3
2339,Pat Barry,1,0,2,3,0.66,2,3,0,0,0,0,0,0.0,1,2,0,0,1,1,2,3,0,0,0,0
2339,Shawn Jordan,1,1,10,15,0.66,16,22,0,0,0,0,0,0.0,10,15,0,0,0,0,6,11,0,0,4,4
2338,Jake Shields,1,0,38,93,0.4,48,103,0,0,0,0,4,0.0,0,37,19,31,19,25,14,57,24,36,0,0
2338,Tyron Woodley,1,0,17,27,0.62,31,41,0,0,0,0,0,0.0,3,13,13,13,1,1,6,16,11,11,0,0
2338,Jake Shields,2,0,19,53,0.35,43,80,0,0,0,0,7,0.0,1,23,13,22,5,8,6,32,13,21,0,0
2338,Tyron Woodley,2,0,18,24,0.75,22,28,0,0,0,0,0,0.0,3,8,10,11,5,5,9,15,9,9,0,0
2338,Jake Shields,3,0,25,65,0.38,41,84,0,0,0,0,7,0.0,5,32,17,27,3,6,13,42,12,23,0,0
2338,Tyron Woodley,3,0,25,43,0.58,44,62,0,0,0,0,0,0.0,5,21,18,19,2,3,7,22,18,21,0,0
2337,Sam Stout,1,0,21,52,0.4,25,56,0,0,0,1,1,1.0,8,35,3,6,10,11,19,50,2,2,0,0
2337,James Krause,1,0,30,60,0.5,39,71,0,0,1,0,0,0.0,20,49,5,5,5,6,25,54,4,5,1,1
2337,Sam Stout,2,0,26,81,0.32,30,85,0,0,0,0,0,0.0,10,57,7,12,9,12,21,71,0,0,5,10
2337,James Krause,2,0,25,57,0.43,30,62,0,0,0,1,2,0.5,16,44,5,8,4,5,25,53,0,0,0,4
2337,Sam Stout,3,0,26,93,0.27,26,93,0,0,0,1,1,1.0,6,63,8,14,12,16,26,92,0,1,0,0
2337,James Krause,3,0,41,71,0.57,41,71,1,0,0,0,0,0.0,32,60,3,4,6,7,41,71,0,0,0,0
2336,Sean Pierson,1,0,17,38,0.44,20,41,0,0,0,0,0,0.0,14,34,1,2,2,2,13,33,3,3,1,2
2336,Kenny Robertson,1,0,19,43,0.44,24,51,0,1,0,1,5,0.2,11,33,3,5,5,5,16,34,1,3,2,6
2336,Sean Pierson,2,0,17,44,0.38,36,68,0,0,0,0,0,0.0,16,43,1,1,0,0,14,38,0,0,3,6
2336,Kenny Robertson,2,0,25,48,0.52,32,61,0,1,0,0,1,0.0,17,39,5,6,3,3,20,34,1,2,4,12
2336,Sean Pierson,3,0,2,10,0.2,2,10,0,0,1,0,1,0.0,2,10,0,0,0,0,2,9,0,0,0,1
2336,Kenny Robertson,3,0,21,28,0.75,83,106,0,1,0,0,0,0.0,19,26,2,2,0,0,13,19,4,5,4,4
2335,Roland Delorme,1,0,12,22,0.54,36,52,2,3,0,1,2,0.5,12,22,0,0,0,0,0,3,0,0,12,19
2335,Edwin Figueroa,1,0,6,20,0.3,8,22,0,0,0,0,0,0.0,6,20,0,0,0,0,1,3,0,1,5,16
2335,Roland Delorme,2,0,4,7,0.57,19,26,0,4,0,2,4,0.5,4,7,0,0,0,0,0,2,0,0,4,5
2335,Edwin Figueroa,2,0,8,20,0.4,20,34,2,1,1,0,0,0.0,8,20,0,0,0,0,0,3,0,0,8,17
2335,Roland Delorme,3,0,6,16,0.37,10,22,0,4,0,3,5,0.6,6,15,0,1,0,0,4,13,1,1,1,2
2335,Edwin Figueroa,3,0,28,49,0.57,32,53,0,1,1,0,0,0.0,28,49,0,0,0,0,12,25,0,2,16,22
2334,Mitch Clarke,1,0,19,53,0.35,42,77,0,0,0,0,0,0.0,6,28,2,5,11,20,14,47,5,6,0,0
2334,John Maguire,1,0,6,22,0.27,13,29,0,0,0,0,2,0.0,5,21,1,1,0,0,5,21,1,1,0,0
2334,Mitch Clarke,2,0,13,25,0.52,34,47,0,0,0,0,1,0.0,4,11,1,5,8,9,10,22,3,3,0,0
2334,John Maguire,2,0,6,12,0.5,42,48,0,1,0,2,2,1.0,5,11,1,1,0,0,2,6,1,1,3,5
2334,Mitch Clarke,3,0,9,27,0.33,42,64,0,1,1,0,0,0.0,6,19,2,2,1,6,2,11,3,6,4,10
2334,John Maguire,3,0,3,7,0.42,11,18,0,1,0,1,3,0.33,1,5,2,2,0,0,1,3,2,4,0,0
2333,Yves Jabouin,1,0,7,10,0.7,28,36,0,1,1,0,0,0.0,5,8,1,1,1,1,2,4,0,0,5,6
