first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Angelo,Antonio,Angelo Antonio,,--,205 lbs.,--,Orthodox,1.0,3.0,0.0,http://www.ufcstats.com/fighter-details/dbd198f780286aca
Zu,Anyanwu,Zu Anyanwu,8th Wonder,"6' 1""",251 lbs.,"77.0""",Orthodox,14.0,5.0,0.0,http://www.ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho,Anzai,Shinsho Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10.0,3.0,0.0,http://www.ufcstats.com/fighter-details/4665f9f909cd7214
Shinya,Aoki,Shinya Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,30.0,5.0,0.0,http://www.ufcstats.com/fighter-details/79ded75550efc139
Josh,Appelt,Josh Appelt,The Juggernaut,"5' 10""",255 lbs.,"73.0""",Southpaw,15.0,6.0,0.0,http://www.ufcstats.com/fighter-details/0c1a04afca64e38f
Erik,Apple,Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,10.0,3.0,0.0,http://www.ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji,Arai,Kenji Arai,,"5' 10""",145 lbs.,--,Southpaw,15.0,15.0,5.0,http://www.ufcstats.com/fighter-details/269d103c96a4c3a5
Romie,Aram,Romie Aram,,"5' 10""",170 lbs.,--,Orthodox,7.0,1.0,0.0,http://www.ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe,Arantes,Felipe Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18.0,10.0,1.0,http://www.ufcstats.com/fighter-details/71002dbc1743b9a7
Igor,Araujo,Igor Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25.0,8.0,0.0,http://www.ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane,Araujo,Viviane Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,8.0,2.0,0.0,http://www.ufcstats.com/fighter-details/36541f1e6c5d4955
Julio,Arce,Julio Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,16.0,4.0,0.0,http://www.ufcstats.com/fighter-details/1291edf2d566a71a
Art,Arciniega,Art Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15.0,7.0,0.0,http://www.ufcstats.com/fighter-details/d25e39e74efb0a77
Tristan,Arenal,Tristan Arenal,,--,155 lbs.,--,,4.0,1.0,0.0,http://www.ufcstats.com/fighter-details/9c9455912d917e4e
Andrei,Arlovski,Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,28.0,19.0,0.0,http://www.ufcstats.com/fighter-details/3738e68d2261e60f
Joey,Armstrong,Joey Armstrong,,--,--,--,,5.0,2.0,0.0,http://www.ufcstats.com/fighter-details/30ad2050273d016a
